35	flodoard reim march canon chronicl presum archivist cathedr church reim west frankish kingdom decad dissolut carolingian empir local tradit flodoard born pernai educ cathedr school reim establish archbishop fulk canon reim favourit archbishop heriveu seulf occupi young import posit archiepiscop ministri cathedr scriptorium seulf death magnat herbert ii count vermandoi instal year son hugh archbishop flodoard refus particip young boi elect strip posit benefic reim count herbert king raoul duke hugh great eject hugh oversaw elect archbishop artold flodoard visit rome pilgrimag met pope leo vii herbert recaptur reim depos artold reimpos hugh flodoard object invas bishopr canon ground detain herbert strip prebend flodoard appear reim court king loui iv loui recaptur reim back otto hugh depos artold ordain claim eventu ratifi synod ingelheim flodoard attend flodoard otto court aachen repres church reim properti disput retir canon offic ag di march histori church reim historia remensi
36	inchtuthil site roman legionari fortress situat natur platform overlook north bank river tai southwest blairgowri perth kinross scotland roman caledonia built ad advanc headquart forc governor gnaeu juliu agricola campaign caledonian tribe posit head main rout scottish highland occupi legion xx valeria victrix cover total area construct larg fortress season temporari camp built nearbi hous protect soldier winter addit smaller fort built north south mouth nearbi glen form refer glenblock fort woolliscroft hoffmann argu glenblock fort strathmor cardean stracathro form uniform system compos element fort watchtow roman road gask ridg glenblock strathmor fort inchtuthil largest militari base function lynch pin site larg launch invas highland unlik legionari fortress britain inchtuthil built layout larg preserv sir ian richmond excav notabl site complet plan legionari fortress roman empir defenc consist turf rampart face stone ditch gatehous side standard roman plan legion accommod number
37	mantou refer chines steam bun bread type cloud steam bread bun popular northern china mantou origin tale zhuge liang mantou typic eaten stapl food northern part china wheat rice grown made mill wheat flour water leaven agent size textur rang soft fluffi eleg restaur firm dens work man lunch white flour heavili process expens white mantou luxuri pre industri china tradition mantou bing wheat noodl stapl carbohydr northern chines diet analog rice form mainstai southern chines diet south serv street food restaur dish stapl home cook restaur mantou smaller delic manipul deep fry dip sweeten condens milk sold pre cook frozen section asian supermarket readi prepar steam heat microwav oven similar food savori sweet fill insid baozi mantou older word region jiangnan region china korea mantou equival local read word fill unfil bun japan equival local read word refer fill bun mongol thought fill baozi style mantou countri central east asia begin yuan dynasti centuri mantou cognat manti mant
38	eanmund swedish princ scylf dynasti exist alleg beowulf unlik rel eanmund mention beowulf eanmund son ohther brother eadgil exist real life real proto nors aiwamunduz east nors mund munduz east nors mund ohther di ohther younger brother onela usurp swedish throne uncl seiz power eanmund eadgil sought refug geat caus onela attack geat attack motiv fact geatish king heardr father kill onela father ongentheow battl eanmund kill onela champion weohstan heardr kill eadgil surviv poem beowulf help aveng eanmund ohther slai onela event appear scandinavian sourc tale weohstan eanmund sword inherit son wiglaf sword fight dragon beowulf nerman det svenska riket uppkomst stockholm
39	token practic make perfunctori symbol effort inclus member minor group recruit small number peopl underrepres group order give appear racial sexual equal workforc effort includ token employe workforc intend creat impress social inclus divers racial religi sexual order deflect accus social discrimin social concept employ practic token understood popular cultur unit state late book wait civil right activist martin luther king jr discuss subject token constitut minim accept black peopl mainstream societi ask gain african american civil right movement human right activist malcolm answer gain token negro job lunch counter rest quiet practic employ token misrepres token person man woman inferior intellect job skill work capac rel worker group possess superfici person suffici bland inoffens affront sensibl superior inher white privileg token employe employ organ avoid accus stereotyp neg trait minor group altern differ token person emphas made exot glamor extraordinari condit maintain other
40	mattress depend metropoli record smith babyland perform base independ electron junk punk band lo angel california featur dan gatto perform vocal electron michael smith percuss form advoc dii punk ethic part music underground cultur regard industri music punk rock indi rock electron music commun live perform babyland share stage band offspr ethyl meatplow grotu legendari pink dot dystopia foetu add nitzer ebb vnv nation psychic tv live perform occur underground locat includ place la jabberjaw kontrol faktori smell gilman berkelei record prior releas lo angel punk rock label flipsid band particip organ mojav desert event subsequ materi releas band label mattress full length finger compil earlier song decad releas europ depend recent deal metropoli record result commerci releas sixth album cavecraft post band myspac site octob confirm long live group breakup singer dan music project call continu
41	peshmerga kurdish merg kurdish pronunci militari forc autonom region iraqi kurdistan peshmerga mean confront death face death pesh mean stand front loos translat confront face merga mean death formal head peshmerga presid iraqi kurdistan peshmerga forc larg divid control separ democrat parti kurdistan patriot union kurdistan pledg allegi kurdistan region govern effort gather entir forc ministri peshmerga affair peshmerga forc respons defend land peopl institut kurdistan region iraqi armi forbidden law enter iraqi kurdistan peshmerga kurdish secur subsidiari respons secur kurdish region subsidiari includ asayish offici intellig agenc parastin zanyar dzha terror assist intellig agenc zeravani militari polic iraq war peshmerga plai kei role mission captur saddam hussein kurdish anti terror forc captur al qaeda kei figur hassan ghul reveal ident osama bin laden messeng eventu led oper neptun spear death osama bin laden unexpect larg scale isi offens iraqi kurdistan august peshmerga
42	comput fudget graphic user interfac toolkit function program languag haskel window system fudget make easi creat client server applic commun internet work fudget thoma hallgren magnu carlsson author claim advantag fudget fact program lazi function program languag main entiti toolkit fudget implement low level stream processor input output fudget compos parallel sequenc yield fudget code fudget code describ sequenti fudget plumb mapf fudget take function argument make fudget output input appli function note fudget composit read left simpl function composit simpli write compil run integ print factori licens fudget claim softwar free commerci
43	haw surnam notabl peopl surnam includ
44	geometri cissoid curv gener curv point pole variabl line pass intersect point op point chosen direct locu point defin cissoid curv rel slightli essenti equival definit author defin point op op op equival definit replac reflect defin midpoint produc curv gener previou curv scale factor word cissoid greek kissoeid ivi shape kisso ivi oeid like cissoid union curv equat determin individu basi depend period equat elimin due duplic ellips branch cissoid simpli origin ellips branch cissoid oval shape curv parametr equat cissoid rel origin circl center cissoid conchoid parallel line cissoid line parallel line parallel line origin polar equat combin constant cartesian coordin hyperbola pass origin cissoid parallel line hyperbola pole similar deriv show convers hyperbola cissoid parallel line rel point cissoid zahradnik karel zahradnik defin cissoid conic section line rel point conic broad famili ration cubic curv exampl specif  ellips written  cissoid  parametr form folium
45	christen ceremoni
46	tune refer
47	woof woof refer
48	prostacyclin call prostaglandin pgi prostaglandin member eicosanoid famili lipid molecul inhibit platelet activ effect vasodil drug epoprostenol term interchang research team head professor john vane began explor role prostaglandin anaphylaxi respiratori diseas work team royal colleg surgeon sir john discov aspirin oral anti inflammatori drug work inhibit synthesi prostaglandin critic find open door broader understand role prostaglandin bodi sir john team wellcom foundat identifi lipid mediat call pg inhibit platelet aggreg pg prostacyclin time potent anti aggregatori agent john vane fellow research salvador moncada ryszard gryglewski stuart bunt publish paper prostacyclin scientif journal natur collabor produc synthes molecul epoprostenol nativ prostacyclin structur epoprostenol molecul prove unstabl solut prone rapid degrad present challeng vitro experi clinic applic overcom challeng research team discov prostacyclin determin continu research attempt build success prototyp molecul
49	pahonia transliter pahonia pa pogo vyti liter pursuer coat arm grand duchi lithuania belarusian democrat republ republ belaru pahonia declar cultur heritag belaru charg knight emerg state emblem region seal duke alexand michailovich pskov deputi gedimina lithuania pskov part grand duchi lithuania time time duke hlieb narimanta polacak pahonia seal fact illustr probabl pahonia state symbol lithuania gustyn chronicl duke vyteni lithuania began rule lithuania design coat arm seal lithuania arm knight ride hors symbol present time call pahonia quot chronicl pahonia birth symbol charg knight horseback pass gener algirda son grand duke jogaila rule grand duke vytauta rule centuri charg knight horseback sword begun featur herald shield jogaila seal seal vytauta earli centuri herald charg knight horseback coat arm grand duchi lithuania central part duchi vilniu centuri document refer polish term pogo charg knight ride left held lanc half centuri depict show ride left viewer sword rais hand
50	dedic refer
51	prosum person consum produc media deriv prosumpt dot era busi term mean product consum term coin american futurist alvin toffler wide technolog writer time  prosum trade term busi perspect high end electron devic digit camera mean price point profession consum devic blur role consum produc origin cooper movement sprang econom crise great depress marshal mcluhan barrington nevitt suggest book todai electr technolog consum produc book wave futurologist alvin toffler coin term prosum predict role produc consum begin blur merg book futur shock toffler envis highli satur marketplac mass product standard product began satisfi basic consum demand continu grow profit busi initi process mass custom mass product highli custom product reach high degre custom consum part product process design requir sens extens broaden kind relationship affluent client profession architect decad case architectur client primari end consum distinct touch magazin essai prosumpt architectur decentr architectur agenc
52	afro abbrevi fro natur hairstyl worn natur peopl lengthi kinki hair textur specif style fashion individu natur curli straight hair hairstyl creat comb hair scalp allow hair extend head larg round shape cloud ball peopl natur curli straight hair hairstyl typic creat cream gel solidifi liquid hold hair place popular african american commun late hairstyl shape maintain assist wide tooth comb colloqui afro pick afro deriv term afro american hairstyl refer natur shorter elabor version afro case hair left untreat relax straighten chemic allow express natur curl kinki hairstyl similar afro worn circassian beauti moss hair girl group women exhibit sideshow attract unit state barnum women claim circassian peopl northern caucasu region market white audienc captiv exot east pure exampl caucasian race sexual slave turkish harem argu portray caucasian woman rescu slave american civil war plai racial connot slaveri time distinct hairstyl affili side show white circassian african american ident
53	rassilon fiction charact british scienc fiction televis seri doctor backstori programm founder time lord societi planet gallifrei leader lord high presid origin televis seri end rassilon charact histori develop book media univers televis seri contradictori legend rassilon develop technolog time travel made peopl lord time distant past colleagu omega omega stellar engin presum kill supernova creat black hole ey harmoni rassilon har nucleu black hole provid energi power time travel rassilon control gallifrei date lord high presid successor take titl lord presid offici histori benevol ruler rule peopl wise account paint rassilon opportunist ambiti cruel dictat seiz power wake friend death suggest deliber respons readi drastic measur protect peopl destroi time rassilon contribut time lord cultur societi immens reverber honour time lord histori rassilon imprimatur symbiot nucleu time lord cell structur withstand molecular stress time travel grant link tardi time machin time lord artifact
